tucaseid,split,cluster,health_score,year,sex,age,education,sequence_length,total_minutes,Sleep,TV/Screen,Exercise,Work (main),Work (other),Eating/Drinking,Grooming/Self-care,Housework,Food Prep,Home Maintenance,Childcare,Adult Care,Education,Shopping,Professional Services,Household Services,Civic/Government,Socializing (family),Socializing (friends),Leisure/Relaxing,Arts/Entertainment,Religious/Volunteer,Phone/Communication,Travel,Other
20190201192218,train,10,0.1915,2019,1,85,36,19,1440,0.375,0.3542,0.0,0.0,0.0,0.0174,0.0208,0.0486,0.0208,0.0,0.0,0.0,0.0,0.0312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0868,0.0,0.0451,0.0
20101211101450,train,10,0.3207,2010,2,48,44,30,1440,0.2708,0.1472,0.0,0.3021,0.0,0.059,0.0174,0.0208,0.0014,0.0243,0.0222,0.0,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0965,0.0208
20200605201630,train,10,0.3598,2020,1,61,44,32,1440,0.3333,0.1736,0.0,0.0069,0.0,0.0243,0.0208,0.0,0.0104,0.0486,0.0104,0.0,0.0,0.059,0.0,0.1528,0.0,0.1076,0.0,0.0,0.0,0.0,0.0243,0.0278,0.0
20220605221462,train,10,0.3246,2022,2,67,39,32,1440,0.3333,0.1597,0.0,0.0,0.0,0.0451,0.0625,0.1007,0.0556,0.2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20060504062562,train,10,0.3031,2006,2,45,40,20,1440,0.2708,0.1771,0.0,0.0,0.0,0.0312,0.0,0.1319,0.125,0.0,0.0,0.0,0.0,0.1111,0.0,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.0625,0.0694
20110112102162,train,10,0.3011,2011,2,43,39,19,1440,0.4375,0.2222,0.0,0.0,0.0,0.0556,0.0556,0.0,0.0,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0208,0.125,0.0
20041210041016,train,10,0.3927,2004,2,57,40,32,1440,0.25,0.2486,0.0,0.0,0.0,0.0625,0.0556,0.0,0.0104,0.0139,0.0,0.0056,0.0,0.0,0.0,0.0,0.0,0.2514,0.0,0.0,0.0,0.0417,0.0118,0.0486,0.0
20050302052455,train,10,0.3128,2005,1,35,39,19,1440,0.25,0.1389,0.0,0.0,0.0,0.4132,0.0139,0.0,0.0,0.0451,0.0,0.0,0.0,0.0764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0
20030909032041,train,10,0.4518,2003,2,31,41,30,1440,0.3924,0.0556,0.0,0.0,0.0,0.1424,0.0208,0.0417,0.0174,0.0833,0.0347,0.0,0.0,0.0,0.0,0.0,0.0,0.1285,0.0,0.0,0.0,0.0,0.0139,0.0694,0.0
20140604142474,train,10,0.3238,2014,2,43,40,30,1440,0.4167,0.1764,0.0,0.0,0.0069,0.0174,0.0,0.1736,0.0257,0.0625,0.0153,0.0,0.0,0.0,0.0,0.0,0.0,0.0417,0.0,0.0,0.0,0.0,0.0035,0.0076,0.0528
20030807033177,train,10,0.4558,2003,2,29,43,30,1440,0.3167,0.0,0.0,0.3681,0.0,0.0715,0.0486,0.0,0.0035,0.0139,0.0347,0.0,0.0,0.0243,0.0139,0.0,0.0,0.0799,0.0,0.0,0.0,0.0,0.0,0.025,0.0
20090807091291,train,10,0.3735,2009,1,36,41,22,1440,0.3333,0.1562,0.0625,0.0799,0.1667,0.0556,0.0208,0.0,0.0938,0.0,0.0,0.0,0.0,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0069,0.0104
20151111150958,train,10,0.3782,2015,2,38,44,30,1440,0.3743,0.1181,0.0,0.0625,0.0,0.0278,0.0417,0.0,0.0,0.0,0.0014,0.0,0.0,0.0778,0.0312,0.0,0.0,0.0938,0.0,0.0,0.0,0.0,0.0,0.1715,0.0
