tucaseid,split,cluster,health_score,year,sex,age,education,sequence_length,total_minutes,Sleep,TV/Screen,Exercise,Work (main),Work (other),Eating/Drinking,Grooming/Self-care,Housework,Food Prep,Home Maintenance,Childcare,Adult Care,Education,Shopping,Professional Services,Household Services,Civic/Government,Socializing (family),Socializing (friends),Leisure/Relaxing,Arts/Entertainment,Religious/Volunteer,Phone/Communication,Travel,Other
20081210080517,train,6,0.4728,2008,1,41,39,18,1440,0.3736,0.1562,0.0,0.1667,0.0,0.0208,0.0,0.0,0.0007,0.0972,0.1396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0451,0.0
20170112161321,train,6,0.6124,2017,1,40,44,27,1440,0.309,0.0,0.0625,0.0417,0.0,0.125,0.0417,0.0625,0.0104,0.0208,0.0278,0.0,0.0,0.0903,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0
20081210082516,train,6,0.4121,2008,2,21,39,24,1440,0.4778,0.2479,0.0,0.0,0.0,0.0451,0.0486,0.0,0.0563,0.0,0.1215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.0
20220706220792,train,6,0.5353,2022,2,35,43,21,1440,0.5278,0.0389,0.0,0.0,0.0,0.0243,0.0278,0.0,0.0312,0.0,0.1354,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0479,0.0
20080605081762,train,6,0.4378,2008,2,35,40,21,1440,0.4132,0.0938,0.0,0.3472,0.0,0.0208,0.0417,0.0,0.0312,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278,0.0104
20130301131128,train,6,0.5971,2013,2,29,40,15,1440,0.3958,0.0,0.0,0.0,0.0,0.0417,0.0208,0.2083,0.0417,0.0,0.125,0.0,0.0,0.0208,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0625,0.0
20170908170901,train,6,0.5549,2017,1,20,39,10,1440,0.7083,0.0417,0.0,0.0,0.0,0.0312,0.0,0.0,0.0417,0.0,0.1736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0
20221210221777,train,6,0.5411,2022,1,43,44,19,1440,0.3542,0.0208,0.0,0.3514,0.0,0.0729,0.0139,0.0,0.0208,0.0,0.1035,0.0,0.0,0.0069,0.0,0.0,0.0,0.0243,0.0,0.0,0.0,0.0,0.0,0.0312,0.0
20230101231792,train,6,0.5656,2023,2,45,43,25,1440,0.3389,0.0,0.0,0.3618,0.0,0.0104,0.0,0.0,0.0243,0.0069,0.1514,0.0,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0958,0.0
20160403160879,train,6,0.4267,2016,2,38,40,27,1440,0.3333,0.1972,0.0,0.0833,0.0,0.0417,0.0417,0.0,0.0833,0.0,0.0903,0.0,0.0,0.0521,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0,0.0,0.0701,0.0
20121211122416,train,6,0.317,2012,1,65,42,18,1440,0.3403,0.375,0.0,0.0,0.0,0.0625,0.0,0.0417,0.0208,0.0833,0.0764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20141211140026,train,6,0.2748,2014,1,26,40,14,1440,0.5417,0.3958,0.0,0.0,0.0,0.0,0.0,0.0417,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20210202211578,train,6,0.5242,2021,2,35,39,22,1440,0.4132,0.1111,0.0,0.0,0.0,0.0139,0.0208,0.125,0.0729,0.0,0.1875,0.0,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417,0.0
20120503121318,train,6,0.6566,2012,1,16,35,18,1440,0.3958,0.0799,0.1042,0.0,0.0,0.0069,0.125,0.0,0.0,0.0,0.0625,0.0,0.0,0.0035,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0972,0.0
20221110221835,train,6,0.386,2022,2,45,44,22,1440,0.3264,0.2188,0.0208,0.2431,0.0,0.059,0.0417,0.0,0.0312,0.0,0.0035,0.0,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417,0.0
20110403111195,train,6,0.5625,2011,1,31,35,18,1440,0.2049,0.0208,0.0,0.3333,0.0,0.1458,0.0417,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0868,0.0
20030302033313,train,6,0.7333,2003,2,31,39,10,1440,0.3576,0.0417,0.0139,0.0833,0.0,0.0069,0.0,0.0,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.4479,0.0,0.0,0.0,0.0,0.0,0.0278,0.0
20231009232178,train,6,0.4014,2023,1,48,42,7,1440,0.3646,0.1979,0.0,0.3333,0.0,0.0417,0.0,0.0,0.0104,0.0,0.0521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170908171012,train,6,0.4858,2017,1,49,43,19,1440,0.375,0.0521,0.0208,0.3889,0.0,0.0104,0.0208,0.0,0.066,0.0,0.0174,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0451,0.0
