tucaseid,split,cluster,health_score,year,sex,age,education,sequence_length,total_minutes,Sleep,TV/Screen,Exercise,Work (main),Work (other),Eating/Drinking,Grooming/Self-care,Housework,Food Prep,Home Maintenance,Childcare,Adult Care,Education,Shopping,Professional Services,Household Services,Civic/Government,Socializing (family),Socializing (friends),Leisure/Relaxing,Arts/Entertainment,Religious/Volunteer,Phone/Communication,Travel,Other
20230404230595,train,3,0.3797,2023,1,67,43,14,1440,0.3854,0.2431,0.0417,0.0,0.0,0.0521,0.0208,0.0,0.0903,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833
20111009112226,train,3,0.2714,2011,2,74,39,20,1440,0.4049,0.3403,0.0,0.0,0.0,0.0104,0.0118,0.0833,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417,0.0417,0.0,0.0
20141211141302,train,3,0.418,2014,2,44,40,19,1440,0.2896,0.1458,0.0,0.0,0.0,0.0312,0.0208,0.0,0.0417,0.0,0.0,0.3174,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.1035,0.0
20130807132118,train,3,0.5712,2013,1,69,39,21,1440,0.4271,0.0104,0.0,0.0625,0.0,0.0833,0.0417,0.0,0.0,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1701,0.0,0.0,0.0,0.1389,0.0,0.0139,0.0104
20160706161075,train,3,0.3859,2016,2,76,43,19,1440,0.3472,0.1493,0.0,0.0,0.0,0.0833,0.0278,0.125,0.0486,0.0625,0.0,0.0,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1424,0.0
20031212032847,train,3,0.413,2003,1,73,44,24,1440,0.4375,0.1319,0.0139,0.0,0.0,0.0556,0.0278,0.0,0.0243,0.3021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069,0.0
20110504111277,train,3,0.4209,2011,2,71,39,20,1440,0.3507,0.1326,0.0,0.0,0.0,0.1181,0.1076,0.0,0.0243,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417,0.0,0.0,0.0,0.0833,0.0,0.0583,0.0
20241210240681,train,3,0.3505,2024,2,66,39,14,1440,0.3889,0.2083,0.0,0.0,0.0,0.0312,0.0833,0.0833,0.0521,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069,0.0833,0.0,0.0
20230112221144,train,3,0.4629,2023,1,64,39,14,1440,0.375,0.1875,0.0833,0.0,0.0,0.0208,0.0208,0.0833,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0208,0.0
20121110120733,train,3,0.1515,2012,1,66,38,17,1440,0.3542,0.5403,0.0,0.0,0.0,0.0222,0.0486,0.0,0.0,0.0,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069,0.0208,0.0
