tucaseid,split,cluster,health_score,year,sex,age,education,sequence_length,total_minutes,Sleep,TV/Screen,Exercise,Work (main),Work (other),Eating/Drinking,Grooming/Self-care,Housework,Food Prep,Home Maintenance,Childcare,Adult Care,Education,Shopping,Professional Services,Household Services,Civic/Government,Socializing (family),Socializing (friends),Leisure/Relaxing,Arts/Entertainment,Religious/Volunteer,Phone/Communication,Travel,Other
20161009160905,train,0,0.3891,2016,1,44,40,28,1440,0.3958,0.0236,0.0,0.3312,0.0,0.0229,0.0174,0.0625,0.0104,0.0312,0.0,0.0,0.0,0.0104,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0,0.0104,0.0667,0.0104
20060302061676,train,0,0.286,2006,1,34,44,25,1440,0.4896,0.2188,0.0,0.1688,0.0,0.0347,0.0014,0.0,0.0,0.0007,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0792,0.0
20100112091604,train,0,0.427,2010,1,49,43,20,1440,0.3229,0.0,0.0,0.4375,0.0,0.0069,0.0208,0.0,0.0104,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0576,0.0,0.0,0.0,0.0,0.0,0.1424,0.0
20230605231230,train,0,0.3774,2023,1,48,41,13,1440,0.3417,0.0417,0.0,0.5,0.0,0.0069,0.0139,0.0208,0.0,0.0,0.0021,0.0,0.0,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0
20090303092016,train,0,0.3866,2009,1,29,37,26,1440,0.3333,0.0833,0.0,0.291,0.0,0.0417,0.0417,0.0,0.0208,0.0,0.0618,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0
20050908050779,train,0,0.4614,2005,1,33,44,14,1440,0.25,0.0,0.0,0.2292,0.0208,0.0417,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.3125,0.0
20041211041388,train,0,0.2807,2004,1,61,43,23,1440,0.3111,0.2292,0.0,0.3486,0.0,0.0035,0.0326,0.0,0.0,0.0035,0.0,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0
20090504090953,train,0,0.3976,2009,1,40,36,13,1440,0.4306,0.0,0.0,0.4062,0.0,0.0153,0.0243,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1215,0.0
20130403130908,train,0,0.2477,2013,2,51,39,16,1440,0.2708,0.2938,0.0,0.0,0.0,0.0208,0.0,0.125,0.0,0.0,0.0,0.1785,0.0,0.0,0.0,0.0,0.0,0.0,0.0972,0.0,0.0,0.0,0.0,0.0139,0.0
20040111032591,train,0,0.3692,2004,1,49,46,26,1440,0.3056,0.0833,0.0,0.25,0.0,0.0729,0.0174,0.0,0.0312,0.0625,0.0278,0.0,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1354,0.0
