tucaseid,split,cluster,health_score,year,sex,age,education,sequence_length,total_minutes,Sleep,TV/Screen,Exercise,Work (main),Work (other),Eating/Drinking,Grooming/Self-care,Housework,Food Prep,Home Maintenance,Childcare,Adult Care,Education,Shopping,Professional Services,Household Services,Civic/Government,Socializing (family),Socializing (friends),Leisure/Relaxing,Arts/Entertainment,Religious/Volunteer,Phone/Communication,Travel,Other
20110301111729,train,15,0.4213,2011,2,48,43,19,1440,0.3958,0.125,0.0,0.0139,0.0,0.0618,0.0417,0.1458,0.0312,0.1535,0.0,0.0,0.0,0.0021,0.0,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.0083,0.0
20210201210762,train,15,0.4385,2021,2,34,44,18,1440,0.2743,0.0799,0.0,0.4236,0.0,0.0382,0.0521,0.0,0.0556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069,0.0347,0.0347,0.0
20240101242285,train,15,0.4507,2024,1,68,44,23,1440,0.3715,0.1458,0.0,0.0521,0.0,0.0417,0.0278,0.0417,0.0104,0.0417,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.1181,0.0
20030505033370,train,15,0.462,2003,2,55,40,26,1440,0.3264,0.1056,0.0278,0.3819,0.0,0.0104,0.0625,0.0,0.0,0.0111,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0035,0.0604,0.0
20040403040912,train,15,0.463,2004,2,56,40,23,1440,0.2708,0.1389,0.0,0.3264,0.0,0.0486,0.0278,0.0,0.0069,0.0208,0.0,0.0,0.0,0.0208,0.0,0.0,0.0,0.0938,0.0,0.0,0.0,0.0,0.0,0.0451,0.0
20110503111546,train,15,0.5478,2011,2,63,39,25,1440,0.3125,0.0625,0.0243,0.3229,0.0,0.0104,0.0569,0.0382,0.0,0.0278,0.016,0.0,0.0,0.0035,0.0,0.0,0.0,0.0729,0.0,0.0,0.0,0.0,0.0,0.0521,0.0
20181210181648,train,15,0.5243,2018,1,65,39,16,1440,0.4201,0.0417,0.0,0.1667,0.0,0.0417,0.0208,0.0,0.0,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0,0.0,0.0833,0.0,0.1007,0.0
20241110240225,train,15,0.615,2024,1,23,43,23,1440,0.3729,0.0417,0.1042,0.3125,0.0,0.0486,0.0507,0.0,0.0139,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0417,0.0
20210302212360,train,15,0.5022,2021,1,30,46,22,1440,0.4792,0.0,0.0,0.1139,0.0,0.125,0.0417,0.0,0.0104,0.0069,0.0,0.0,0.0,0.0347,0.0,0.0,0.0,0.0104,0.0,0.0,0.0,0.1354,0.0,0.0424,0.0
20080504081212,train,15,0.4286,2008,2,53,43,21,1440,0.4375,0.0938,0.0,0.0625,0.0,0.0208,0.0486,0.0833,0.0938,0.0208,0.0,0.0,0.0,0.0417,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0347,0.0
20061110061026,train,15,0.436,2006,2,40,44,23,1440,0.2917,0.0833,0.0,0.0208,0.0,0.0938,0.0,0.0208,0.0104,0.1458,0.0,0.0,0.0,0.1944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0799
20060906061907,train,15,0.3006,2006,1,62,44,19,1440,0.3125,0.275,0.0,0.2889,0.0,0.0486,0.0347,0.0,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0264,0.0
20110909111095,train,15,0.5586,2011,1,49,39,25,1440,0.2868,0.0868,0.0,0.3333,0.0,0.0174,0.0076,0.0007,0.0,0.0312,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0208,0.0382,0.0
20200301201706,train,15,0.4311,2020,1,42,40,18,1440,0.316,0.0903,0.0,0.2917,0.0,0.0104,0.0104,0.2083,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0694,0.0
20131110132372,train,15,0.4507,2013,1,40,43,20,1440,0.3125,0.0833,0.0104,0.3021,0.0,0.0694,0.0417,0.0,0.0208,0.0104,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1424,0.0
20101211102296,train,15,0.4728,2010,2,72,37,12,1440,0.1458,0.0312,0.0,0.4271,0.0,0.0312,0.0521,0.0,0.0,0.0,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2743,0.0,0.0312,0.0
20030201030772,train,15,0.5463,2003,1,47,33,19,1440,0.3646,0.0208,0.0,0.2812,0.0,0.0521,0.0208,0.0,0.0,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0938,0.0,0.0,0.0,0.0312,0.0,0.0938,0.0
20040212031272,train,15,0.6435,2004,2,42,43,20,1440,0.2812,0.0083,0.0,0.0104,0.0,0.0,0.0264,0.0,0.0417,0.3715,0.0,0.0,0.0,0.0139,0.0,0.0,0.0,0.2188,0.0,0.0,0.0,0.0,0.0,0.0278,0.0
20050604051449,train,15,0.5051,2005,2,57,44,22,1440,0.3472,0.0882,0.0243,0.3424,0.0,0.0694,0.0278,0.0069,0.0,0.0035,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0542,0.0,0.0,0.0,0.0,0.0139,0.0153,0.0
20080807081970,train,15,0.5463,2008,1,58,43,27,1440,0.3958,0.1458,0.0833,0.0,0.0,0.0764,0.0625,0.0,0.0729,0.0799,0.0521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312,0.0
20210112200662,train,15,0.3551,2021,1,49,40,20,1440,0.3854,0.3229,0.0625,0.0104,0.0,0.0417,0.0625,0.0417,0.0208,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417,0.0,0.0
20220606221725,train,15,0.5145,2022,2,55,44,18,1440,0.309,0.0,0.0139,0.3854,0.0,0.0208,0.0833,0.0035,0.0,0.0,0.0,0.0,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1042,0.0,0.066,0.0
20050604052211,train,15,0.5243,2005,2,67,34,19,1440,0.4375,0.0,0.0,0.2528,0.0,0.0208,0.0729,0.0,0.0208,0.0,0.0,0.0111,0.0,0.0,0.0,0.0,0.0,0.0417,0.0,0.0,0.0,0.0,0.0,0.1007,0.0417
20050101051971,train,15,0.4188,2005,2,56,39,14,1440,0.3229,0.1076,0.0,0.4389,0.0,0.0,0.0312,0.0,0.0,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0368,0.0417,0.0
20120807121955,train,15,0.436,2012,2,61,33,14,1440,0.4278,0.0833,0.0,0.334,0.0,0.0938,0.0,0.0278,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0194,0.0
20070302071707,train,15,0.3943,2007,2,51,41,14,1440,0.3125,0.1424,0.0,0.2708,0.0,0.0139,0.0625,0.0,0.0417,0.1042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0521,0.0,0.0
20160908162112,train,15,0.4262,2016,2,40,44,17,1440,0.3854,0.1285,0.0,0.2083,0.0,0.1319,0.0139,0.0,0.0,0.0,0.0312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0174,0.0
20190706191106,train,15,0.3389,2019,2,37,40,23,1440,0.4062,0.2208,0.0,0.1653,0.0,0.0312,0.0243,0.0347,0.0347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104,0.0,0.034,0.0382
20071210072036,train,15,0.4777,2007,1,22,36,18,1440,0.5667,0.0243,0.0,0.309,0.0,0.0312,0.0451,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0229,0.0
20190403190073,train,15,0.3992,2019,1,50,40,16,1440,0.3542,0.1354,0.0,0.1875,0.0,0.0556,0.0,0.0,0.1146,0.0,0.0,0.0278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056,0.1194
20080302080973,train,15,0.3649,2008,2,54,44,24,1440,0.3299,0.184,0.0,0.2361,0.0,0.0903,0.0556,0.0,0.0069,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0208,0.0556,0.0
20140403142469,train,15,0.4949,2014,1,52,40,16,1440,0.3368,0.0,0.0,0.4472,0.0208,0.0139,0.0243,0.0,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1187,0.0,0.0278,0.0
20041210040776,train,15,0.4419,2004,2,55,39,23,1440,0.2708,0.0819,0.0,0.2625,0.0,0.0451,0.0556,0.0139,0.0153,0.0,0.0069,0.0,0.0,0.0104,0.0,0.0,0.0,0.0,0.1458,0.0,0.0,0.0,0.0,0.0917,0.0
20040706042326,train,15,0.3673,2004,2,35,40,19,1440,0.3681,0.1806,0.0,0.0035,0.0,0.1042,0.0486,0.0556,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.066,0.0
20030504031097,train,15,0.4949,2003,2,38,43,22,1440,0.2847,0.0,0.0,0.4271,0.0,0.0625,0.0694,0.0208,0.0417,0.0,0.0,0.0,0.0,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0521,0.0
20050908051528,train,15,0.4066,2005,1,42,43,24,1440,0.25,0.125,0.0,0.3451,0.0,0.1285,0.0208,0.0,0.0208,0.0312,0.0,0.0,0.0,0.0486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069,0.0229,0.0
20061211061913,train,15,0.4326,2006,1,42,37,25,1440,0.375,0.0951,0.0,0.2222,0.0,0.0243,0.059,0.0,0.0694,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0854,0.0,0.0556,0.0
20150705151916,train,15,0.4311,2015,1,19,38,21,1440,0.25,0.1111,0.0,0.3715,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0104,0.0,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.1111,0.0
20220201222146,train,15,0.3919,2022,2,31,43,18,1440,0.3438,0.1458,0.0,0.2917,0.0,0.0208,0.0347,0.0035,0.0347,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0521
20140201142216,train,15,0.5022,2014,2,57,44,17,1440,0.4167,0.1042,0.0417,0.1458,0.0,0.0417,0.0,0.0417,0.0104,0.0417,0.0,0.0,0.0,0.0417,0.0,0.0,0.0,0.0312,0.0,0.0,0.0,0.0,0.0417,0.0417,0.0
20140907140110,train,15,0.5022,2014,2,59,33,26,1440,0.316,0.0,0.0,0.2812,0.0,0.0347,0.0521,0.0,0.0764,0.0069,0.0104,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0729,0.0,0.1215,0.0069
20051211051654,train,15,0.4703,2005,1,27,45,22,1440,0.391,0.0625,0.0139,0.3583,0.0,0.0625,0.0208,0.0,0.0,0.0333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576,0.0
20090403092149,train,15,0.4581,2009,2,64,41,18,1440,0.375,0.0938,0.0208,0.3299,0.0,0.0556,0.0556,0.0,0.0069,0.0278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139,0.0208,0.0
20090403092163,train,15,0.5096,2009,2,32,43,23,1440,0.3458,0.0833,0.0521,0.3243,0.0,0.0451,0.0625,0.0,0.0208,0.0083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111,0.0,0.0,0.0465,0.0
20230402232455,train,15,0.4752,2023,2,60,42,24,1440,0.3646,0.1111,0.0417,0.309,0.0,0.0556,0.0521,0.0104,0.0208,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139,0.0
20060908060849,train,15,0.4875,2006,2,26,43,22,1440,0.25,0.0104,0.0,0.5646,0.0,0.0347,0.0625,0.0,0.0417,0.0,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0292,0.0
20130201131737,train,15,0.4605,2013,1,37,46,21,1440,0.2882,0.0694,0.0104,0.534,0.0,0.0208,0.0347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0424,0.0
20051110051163,train,15,0.5194,2005,1,42,43,22,1440,0.2917,0.0972,0.066,0.3333,0.0,0.0451,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278,0.1042,0.0
20070605071879,train,15,0.436,2007,1,48,44,15,1440,0.375,0.0833,0.0,0.2674,0.0,0.0486,0.0139,0.0833,0.0139,0.1146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20210807211370,train,15,0.5243,2021,1,32,40,26,1440,0.2674,0.0521,0.0,0.3979,0.0,0.0556,0.0278,0.0,0.0035,0.0014,0.0,0.0,0.0,0.0243,0.0,0.0,0.0,0.0938,0.0,0.0,0.0,0.0,0.0,0.0764,0.0
20240706241442,train,15,0.4468,2024,2,62,42,18,1440,0.3542,0.0681,0.0,0.3708,0.0,0.0208,0.0764,0.0,0.0174,0.066,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0194,0.0
20090908091605,train,15,0.4556,2009,2,50,39,27,1440,0.2604,0.1042,0.0,0.316,0.0,0.0312,0.0451,0.0208,0.0278,0.0035,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0486,0.0,0.0,0.0,0.0451,0.0,0.0903,0.0
20040112032329,train,15,0.4875,2004,2,51,41,16,1440,0.2743,0.0104,0.0,0.5069,0.0,0.0069,0.0312,0.0,0.0208,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0243,0.0
