tucaseid,split,cluster,health_score,year,sex,age,education,sequence_length,total_minutes,Sleep,TV/Screen,Exercise,Work (main),Work (other),Eating/Drinking,Grooming/Self-care,Housework,Food Prep,Home Maintenance,Childcare,Adult Care,Education,Shopping,Professional Services,Household Services,Civic/Government,Socializing (family),Socializing (friends),Leisure/Relaxing,Arts/Entertainment,Religious/Volunteer,Phone/Communication,Travel,Other
20101009100998,train,16,0.3243,2010,2,52,43,35,1440,0.4375,0.2257,0.0174,0.0,0.0,0.0507,0.0521,0.0451,0.0292,0.0208,0.0139,0.0,0.0,0.0069,0.0,0.0,0.0,0.0104,0.0,0.0,0.0,0.0104,0.0,0.0139,0.066
20030807031061,train,16,0.3651,2003,2,32,39,39,1440,0.3333,0.2437,0.0,0.0,0.0,0.0333,0.0347,0.0,0.0528,0.0312,0.0639,0.1125,0.0,0.0,0.0,0.0,0.0,0.0771,0.0,0.0,0.0,0.0,0.0,0.0174,0.0
20031009031946,train,16,0.4379,2003,1,29,37,35,1440,0.3882,0.1285,0.0,0.0,0.0833,0.0625,0.0208,0.0,0.0,0.0069,0.0979,0.0035,0.0,0.0174,0.0104,0.0,0.0,0.0417,0.0,0.0,0.0,0.0,0.0,0.1389,0.0
20170112162049,train,16,0.5874,2017,2,41,43,35,1440,0.3854,0.0104,0.0556,0.0,0.0,0.0347,0.0312,0.0521,0.1389,0.0,0.1306,0.0,0.0,0.0243,0.0208,0.0,0.0,0.0139,0.0,0.0,0.0,0.0,0.0278,0.0743,0.0
20100302101127,train,16,0.2919,2010,2,35,39,49,1440,0.25,0.2965,0.0,0.1472,0.0,0.0292,0.0,0.0417,0.0243,0.0,0.0583,0.0014,0.0,0.0576,0.0069,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.066,0.0
20110807111128,train,16,0.3975,2011,2,54,40,37,1440,0.375,0.1215,0.0,0.0,0.0,0.059,0.0243,0.0521,0.0417,0.0312,0.0694,0.0,0.0,0.0729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417,0.0,0.059,0.0521
20170808170715,train,16,0.5941,2017,2,45,39,41,1440,0.3958,0.0694,0.0312,0.0,0.0,0.0278,0.0347,0.0243,0.0278,0.0069,0.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0403,0.0,0.0,0.0,0.0035,0.0174,0.0257,0.0729
20030303031047,train,16,0.6304,2003,2,41,44,48,1440,0.3958,0.0243,0.0139,0.0,0.0,0.0486,0.0229,0.0035,0.0382,0.0278,0.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0868,0.0,0.0,0.0,0.0465,0.0,0.0694,0.0
20031110031793,train,16,0.5404,2003,2,34,40,37,1440,0.3319,0.0417,0.0521,0.2604,0.0,0.0347,0.0069,0.0382,0.0174,0.0312,0.109,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0639,0.0
20131009131962,train,16,0.4539,2013,2,40,43,53,1440,0.2708,0.0625,0.0069,0.0833,0.0,0.0382,0.0375,0.0479,0.0451,0.0729,0.0708,0.0,0.0,0.0,0.0,0.0,0.0,0.0139,0.0,0.0,0.0,0.2083,0.0035,0.0382,0.0
20191210191204,train,16,0.4827,2019,1,43,43,47,1440,0.3278,0.0417,0.0,0.0,0.0,0.1458,0.0278,0.0139,0.1076,0.0417,0.0778,0.0014,0.0,0.0243,0.0,0.0104,0.0,0.0451,0.0,0.0,0.0,0.0,0.0222,0.1125,0.0
20120807121962,train,16,0.39,2012,2,41,43,50,1440,0.3542,0.2431,0.0,0.0,0.0,0.0312,0.0347,0.0139,0.0556,0.0104,0.1569,0.0,0.0,0.0312,0.0,0.0104,0.0,0.0222,0.0,0.0,0.0,0.0,0.0014,0.0347,0.0
20040201040070,train,16,0.4148,2004,2,35,40,45,1440,0.2951,0.1056,0.0,0.0,0.0,0.0694,0.0451,0.0764,0.1083,0.0,0.0764,0.0653,0.0,0.0312,0.0521,0.0,0.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.0708,0.0
20190402191855,train,16,0.4126,2019,2,43,45,44,1440,0.3736,0.1938,0.0,0.0,0.0,0.0347,0.0104,0.0556,0.0,0.0278,0.1653,0.0,0.0,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.0444
20150706152508,train,16,0.5226,2015,1,26,40,39,1440,0.3896,0.1007,0.0208,0.0,0.0,0.0625,0.0174,0.0312,0.0139,0.0104,0.1125,0.0049,0.0,0.0347,0.0,0.0,0.0,0.0903,0.0,0.0,0.0,0.0,0.0,0.1111,0.0
20130807132126,train,16,0.512,2013,2,46,43,61,1440,0.309,0.0972,0.0542,0.0,0.0,0.0278,0.0417,0.0174,0.1076,0.0382,0.0847,0.0,0.0,0.0312,0.0,0.0,0.0,0.0312,0.0,0.0,0.0,0.0264,0.0,0.0604,0.0729
20090201090744,train,16,0.6322,2009,1,40,44,36,1440,0.3333,0.1181,0.0819,0.0,0.0,0.0868,0.0417,0.0257,0.0278,0.0069,0.2486,0.0,0.0,0.0014,0.0,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.0069,0.0
20120201122048,train,16,0.476,2012,2,32,39,36,1440,0.3403,0.0,0.0,0.2694,0.0,0.0396,0.0347,0.0,0.0069,0.0424,0.0708,0.0021,0.0,0.0174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.0931,0.0
20190403191064,train,16,0.453,2019,2,42,44,36,1440,0.3958,0.0556,0.0,0.0,0.0,0.0646,0.0486,0.0688,0.1271,0.0417,0.0312,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.059,0.0,0.0278,0.0208
20160606162164,train,16,0.5328,2016,2,40,43,37,1440,0.2708,0.0,0.0,0.3806,0.0,0.0833,0.0,0.0,0.0257,0.0174,0.1597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0
20050504051290,train,16,0.575,2005,2,33,44,35,1440,0.3646,0.0347,0.0,0.0,0.0,0.0451,0.0069,0.0347,0.066,0.0938,0.1354,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0104,0.0139,0.0694,0.0
20030101033039,train,16,0.4627,2003,2,37,44,35,1440,0.3333,0.0694,0.0,0.0,0.0,0.0208,0.0,0.1271,0.0312,0.1354,0.1194,0.0,0.0,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312,0.0903
20181211182398,train,16,0.5129,2018,2,41,46,36,1440,0.2396,0.0,0.0,0.3924,0.0,0.0,0.0278,0.066,0.0278,0.0139,0.0347,0.0,0.0,0.0174,0.0,0.0,0.0,0.0938,0.0,0.0,0.0,0.0139,0.0,0.0729,0.0
20160202161634,train,16,0.4321,2016,2,25,43,42,1440,0.3611,0.0944,0.0,0.2431,0.0,0.0347,0.0257,0.0,0.0306,0.0,0.0826,0.0,0.0,0.0347,0.0,0.0,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.0792,0.0
20150808151846,train,16,0.6859,2015,2,36,43,47,1440,0.2326,0.0486,0.0,0.0,0.0,0.0347,0.0521,0.0278,0.1562,0.0,0.4479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20080403081283,train,16,0.4947,2008,2,40,43,54,1440,0.3229,0.1118,0.0,0.0,0.0,0.0243,0.0417,0.0,0.0347,0.0993,0.2118,0.0111,0.0,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139,0.1111,0.0035
20090706091730,train,16,0.4303,2009,1,54,41,40,1440,0.2861,0.1146,0.0,0.1181,0.0,0.0278,0.0347,0.0139,0.0146,0.0139,0.1139,0.0,0.0,0.0049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1576,0.0,0.1,0.0
20140503142430,train,16,0.5905,2014,2,40,43,50,1440,0.3264,0.0639,0.0431,0.0,0.0,0.0521,0.0243,0.0312,0.0278,0.1076,0.0688,0.0007,0.0,0.0,0.0,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.0951,0.0
20031110033270,train,16,0.5138,2003,1,45,43,39,1440,0.2361,0.0451,0.0208,0.0,0.0,0.0403,0.0833,0.0,0.0104,0.1875,0.1333,0.0069,0.0,0.0035,0.0,0.0,0.0,0.0,0.1042,0.0,0.0,0.0,0.0,0.1076,0.0208
20070101071911,train,16,0.4552,2007,2,33,43,43,1440,0.2083,0.1042,0.0556,0.2667,0.0,0.0938,0.0208,0.0465,0.0382,0.0868,0.0312,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139,0.0333,0.0
20130908131669,train,16,0.3789,2013,1,43,42,38,1440,0.2951,0.125,0.0,0.3333,0.0,0.0382,0.0243,0.0278,0.0403,0.0125,0.0437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0097
20120201120186,train,16,0.5084,2012,2,22,39,36,1440,0.3299,0.1007,0.0,0.0,0.0,0.0382,0.0868,0.0625,0.0903,0.0,0.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0208,0.0486,0.0
20181110181819,train,16,0.5528,2018,2,33,43,35,1440,0.434,0.0347,0.0,0.0,0.0,0.0,0.0694,0.0,0.0312,0.0556,0.1806,0.0,0.0,0.0243,0.0,0.0,0.0,0.0451,0.0,0.0,0.0,0.0,0.0,0.125,0.0
20150112142474,train,16,0.4902,2015,2,46,42,38,1440,0.2125,0.0521,0.0,0.3083,0.0,0.0764,0.0778,0.0104,0.0153,0.0,0.0174,0.0,0.0,0.0104,0.0,0.0,0.0,0.1278,0.0,0.0,0.0,0.0,0.0,0.0917,0.0
20160403161942,train,16,0.3647,2016,2,68,39,36,1440,0.4958,0.1319,0.0,0.0,0.0,0.0611,0.0,0.0486,0.1083,0.0701,0.0285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139,0.0417
20040807041471,train,16,0.4153,2004,2,24,43,38,1440,0.2882,0.125,0.0278,0.0,0.0,0.1243,0.0174,0.0208,0.0,0.0104,0.0451,0.0014,0.0,0.2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1313,0.0069
20060807061886,train,16,0.5102,2006,2,28,40,40,1440,0.4167,0.1257,0.0,0.0,0.0,0.0208,0.0208,0.0,0.0208,0.0556,0.1382,0.0,0.0,0.0,0.0,0.0,0.0,0.1118,0.0,0.0,0.0,0.0,0.0,0.0896,0.0
20141009141778,train,16,0.6393,2014,2,29,35,39,1440,0.316,0.0,0.0,0.0,0.0,0.0799,0.0208,0.0486,0.1944,0.0069,0.2847,0.0,0.0,0.0,0.0,0.0,0.0,0.0417,0.0,0.0,0.0,0.0,0.0,0.0069,0.0
20080504080660,train,16,0.4295,2008,2,39,40,39,1440,0.2917,0.059,0.0,0.0,0.0,0.0451,0.0764,0.1694,0.0799,0.0139,0.0569,0.0,0.0,0.0938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0722,0.0417
20060101060951,train,16,0.3833,2006,2,55,42,44,1440,0.375,0.1354,0.0,0.0,0.0,0.0243,0.0208,0.0243,0.0833,0.0104,0.0403,0.0,0.0,0.0382,0.0292,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.1743,0.0236
20190402190973,train,16,0.4729,2019,1,62,39,48,1440,0.2222,0.0521,0.0,0.3743,0.0,0.0104,0.0104,0.0174,0.0208,0.1181,0.0972,0.0,0.0,0.0,0.0,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.0514,0.0049
20051211051043,train,16,0.358,2005,2,39,40,45,1440,0.3507,0.2389,0.0,0.0,0.0,0.0208,0.0069,0.0278,0.0972,0.1014,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312,0.0,0.0
20190302191227,train,16,0.4503,2019,2,39,43,43,1440,0.3292,0.0278,0.0,0.0,0.0,0.0208,0.0257,0.0,0.0625,0.0069,0.034,0.0,0.375,0.0417,0.0,0.0,0.0,0.0243,0.0,0.0,0.0,0.0,0.0,0.0521,0.0
20160402161178,train,16,0.3496,2016,2,67,40,35,1440,0.3771,0.1736,0.0,0.0,0.0,0.0729,0.1042,0.0729,0.0556,0.0312,0.0465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0
20090404091923,train,16,0.4605,2009,1,49,43,43,1440,0.3056,0.0208,0.0,0.3479,0.0,0.0139,0.0139,0.0069,0.0278,0.0347,0.0674,0.0,0.0,0.0139,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0729,0.0,0.0708,0.0
20060403062331,train,16,0.315,2006,1,32,42,36,1440,0.375,0.2132,0.0,0.0,0.0,0.0417,0.0069,0.0,0.1458,0.0208,0.0319,0.0208,0.0,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0917,0.0104
20161009160157,train,16,0.4907,2016,1,35,39,66,1440,0.275,0.0764,0.0208,0.0069,0.0,0.0139,0.0361,0.0868,0.0243,0.1125,0.0326,0.0333,0.0,0.0521,0.0,0.0,0.0,0.0958,0.0,0.0,0.0,0.0,0.0069,0.1264,0.0
20081211081774,train,16,0.3492,2008,1,36,44,35,1440,0.4437,0.1889,0.0,0.0417,0.0,0.0243,0.0208,0.0521,0.0833,0.0312,0.0611,0.0,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0319,0.0
20210112201727,train,16,0.5328,2021,1,43,43,39,1440,0.3993,0.0104,0.0,0.0382,0.0,0.0903,0.0,0.0417,0.1667,0.0069,0.1701,0.0,0.0,0.0417,0.0,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0035,0.0208,0.0
20181110181746,train,16,0.5213,2018,1,37,43,40,1440,0.3125,0.0681,0.0208,0.1938,0.0,0.0312,0.0035,0.0,0.0903,0.0278,0.1542,0.0,0.0,0.0042,0.0,0.0104,0.0,0.0139,0.0,0.0,0.0,0.0,0.0,0.0694,0.0
20040112031089,train,16,0.5914,2004,2,37,43,47,1440,0.3229,0.0521,0.0,0.0,0.0,0.0347,0.0312,0.0431,0.0681,0.0069,0.2708,0.0,0.0,0.0347,0.0,0.0,0.0,0.0326,0.0,0.0,0.0,0.0,0.0521,0.016,0.0347
20121010120886,train,16,0.4086,2012,2,25,39,47,1440,0.2944,0.2174,0.0,0.0,0.0,0.0312,0.0,0.0938,0.0924,0.0,0.1826,0.0049,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0
20150112141197,train,16,0.4419,2015,2,36,39,37,1440,0.3646,0.0972,0.0,0.1944,0.0,0.0139,0.0174,0.0,0.0743,0.0104,0.0868,0.0,0.0,0.0056,0.0035,0.0,0.0,0.0278,0.0,0.0,0.0,0.0,0.0,0.1042,0.0
20100201102467,train,16,0.4144,2010,2,41,43,35,1440,0.3229,0.1111,0.0,0.2917,0.0,0.0139,0.0486,0.0069,0.05,0.0035,0.0681,0.0,0.0,0.0,0.0,0.0,0.0,0.0174,0.0,0.0,0.0,0.0,0.0,0.0347,0.0312
20030403031847,train,16,0.3744,2003,2,29,43,35,1440,0.3333,0.234,0.0,0.0,0.0,0.0382,0.0208,0.0243,0.0917,0.0118,0.1458,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0167,0.0
20220504221882,train,16,0.5031,2022,2,41,39,35,1440,0.5319,0.0,0.0,0.0,0.0,0.0778,0.0208,0.0625,0.0736,0.0,0.1132,0.0,0.0,0.0,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0472,0.0312
20061110060506,train,16,0.4117,2006,2,39,43,35,1440,0.3229,0.2049,0.0,0.0,0.0,0.0417,0.0625,0.0,0.0021,0.0,0.175,0.0,0.0,0.0312,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139,0.125,0.0
